"student label","game score","coast","game scheduled","percent training sessions attended","overall fitness score","# extra strategy sessions attended","hours of sleep the night before game","early bird/night owl","previous competitive sports","# meals on day prior to game","university year"
44,30.7,"east coast","evening",0.26,0.54,1,2,"night owl","frisbee",5,"frosh"
45,29.02,"east coast","evening",0.19,0.36,5,7,"night owl","frisbee",3,"frosh"
46,74.8,"east coast","evening",0.9400000000000001,0.9400000000000001,9,10,"night owl","football",3,"senior"
47,22.51,"east coast","evening",0.41000000000000003,0.1,5,5,"night owl","gymnastics",6,"junior"
48,0.,"east coast","evening",0.18,0.19,6,1,"early bird","table tennis",3,"frosh"
49,28.150000000000002,"east coast","evening",0.27,0.86,1,11,"night owl","baseball",3,"senior"
50,20.900000000000002,"east coast","evening",0.1,0.05,2,2,"night owl","baseball",5,"frosh"
51,19.07,"east coast","noon",0.09,0.09,5,5,"night owl","curling",2,"frosh"
52,52.44,"east coast","noon",0.87,0.74,6,2,"night owl","frisbee",4,"junior"
53,26.82,"east coast","noon",0.27,0.12,3,10,"night owl","table tennis",4,"frosh"
54,43.86,"east coast","noon",0.9500000000000001,0.33,10,5,"night owl","table tennis",5,"sophomore"
55,51.01,"east coast","noon",0.81,0.72,5,7,"night owl","martial arts",5,"sophomore"
56,23.46,"east coast","noon",0.79,0.18,5,2,"night owl","football",6,"sophomore"
57,21.54,"east coast","noon",0.2,0.72,0,2,"night owl","football",6,"junior"
58,21.91,"east coast","noon",0.16,0.01,7,4,"night owl","football",3,"frosh"
59,42.49,"east coast","noon",0.78,0.76,5,2,"night owl","baseball",3,"senior"
60,44.49,"east coast","noon",0.76,0.51,7,1,"night owl","martial arts",3,"senior"
61,44.37,"east coast","morning",0.35000000000000003,0.79,1,7,"early bird","frisbee",3,"junior"
62,42.7,"east coast","morning",0.3,0.72,4,5,"early bird","basketball",2,"sophomore"
63,29.64,"east coast","morning",0.44,0.74,6,11,"night owl","curling",3,"junior"
64,58.89,"east coast","morning",0.72,0.72,9,11,"night owl","martial arts",2,"junior"
65,42.88,"east coast","morning",0.85,0.5700000000000001,4,3,"night owl","football",4,"junior"
66,36.,"east coast","morning",0.03,0.11,6,7,"night owl","table tennis",1,"junior"
67,30.57,"east coast","morning",0.36,0.27,2,3,"night owl","football",6,"frosh"
68,34.85,"east coast","morning",0.76,0.35000000000000003,6,10,"night owl","gymnastics",4,"sophomore"
69,49.92,"east coast","morning",0.84,0.66,8,9,"night owl","football",5,"junior"
70,25.71,"east coast","morning",0.42,0.,8,1,"night owl","gymnastics",3,"sophomore"
71,35.39,"east coast","evening",0.53,0.15,9,3,"night owl","curling",1,"junior"
72,8.5,"east coast","evening",0.29,0.49,4,3,"early bird","curling",3,"junior"
73,14.41,"east coast","evening",0.48,0.49,5,4,"night owl","table tennis",4,"sophomore"
74,31.88,"east coast","evening",0.9500000000000001,0.43,9,10,"early bird","football",5,"sophomore"
75,4.95,"east coast","evening",0.68,0.27,2,0,"night owl","football",5,"sophomore"
76,15.73,"east coast","evening",0.78,0.14,5,0,"night owl","baseball",4,"sophomore"
77,52.65,"east coast","evening",0.77,0.34,10,9,"night owl","baseball",2,"senior"
78,4.92,"east coast","evening",0.45,0.5700000000000001,2,3,"night owl","curling",6,"junior"
79,7.,"east coast","evening",0.05,0.2,1,3,"night owl","football",3,"junior"
80,19.69,"east coast","evening",0.51,0.49,7,8,"night owl","curling",5,"frosh"
81,53.410000000000004,"east coast","morning",0.9500000000000001,0.84,9,2,"night owl","curling",3,"senior"
82,51.6,"east coast","morning",0.8,0.72,4,4,"night owl","martial arts",4,"sophomore"
83,55.21,"east coast","morning",0.98,0.77,7,4,"night owl","martial arts",6,"sophomore"
84,44.13,"east coast","morning",0.77,0.77,3,4,"night owl","martial arts",4,"sophomore"
85,57.14,"east coast","morning",0.86,0.71,9,11,"night owl","curling",4,"junior"
86,49.620000000000005,"east coast","morning",0.85,0.24,10,11,"night owl","martial arts",3,"sophomore"
87,41.31,"east coast","morning",0.6900000000000001,0.48,8,7,"night owl","baseball",4,"junior"
88,0.,"east coast","morning",0.02,0.27,1,3,"night owl","football",3,"senior"
89,36.87,"east coast","morning",0.46,0.71,5,7,"night owl","basketball",3,"sophomore"
90,75.21000000000001,"east coast","morning",0.78,0.98,8,11,"night owl","frisbee",2,"senior"
91,43.300000000000004,"east coast","morning",0.75,0.36,8,6,"night owl","baseball",6,"sophomore"
92,80.92,"east coast","morning",0.84,1.,4,12,"early bird","basketball",3,"senior"
93,69.13,"east coast","morning",0.03,0.02,0,1,"night owl","curling",6,"frosh"
94,42.06,"east coast","morning",0.84,0.52,6,3,"night owl","football",6,"junior"
95,26.32,"east coast","morning",0.51,0.63,5,10,"night owl","curling",3,"junior"
96,40.54,"east coast","morning",0.45,0.51,7,6,"night owl","martial arts",3,"sophomore"
97,52.01,"east coast","morning",0.93,0.46,6,2,"night owl","martial arts",4,"frosh"
98,49.1,"east coast","morning",0.62,0.77,5,10,"early bird","curling",4,"junior"
99,42.1,"east coast","morning",0.33,0.87,8,12,"night owl","table tennis",1,"senior"
100,54.74,"east coast","morning",0.9400000000000001,0.51,9,8,"night owl","gymnastics",5,"sophomore"
101,28.96,"east coast","morning",0.58,0.14,9,4,"night owl","baseball",4,"frosh"
102,47.44,"east coast","morning",0.6900000000000001,0.53,8,4,"night owl","martial arts",3,"sophomore"
103,27.560000000000002,"east coast","morning",0.75,0.49,5,3,"early bird","curling",4,"junior"
104,30.990000000000002,"east coast","morning",0.43,0.5,9,9,"night owl","table tennis",2,"senior"
105,0.,"east coast","morning",0.28,0.37,1,3,"night owl","baseball",5,"junior"
106,20.03,"east coast","morning",0.46,0.35000000000000003,3,0,"night owl","frisbee",3,"junior"
107,0.,"east coast","morning",0.24,0.8,3,10,"night owl","football",3,"junior"
108,59.71,"east coast","morning",0.92,0.8300000000000001,8,10,"night owl","frisbee",4,"junior"
109,0.,"east coast","morning",0.23,0.44,2,4,"night owl","baseball",5,"sophomore"
110,0.,"east coast","morning",0.06,0.01,5,2,"night owl","baseball",3,"sophomore"
111,42.480000000000004,"east coast","evening",0.36,0.5,6,6,"night owl","table tennis",3,"sophomore"
112,21.45,"east coast","evening",0.11,0.28,3,3,"night owl","table tennis",2,"sophomore"
113,50.160000000000004,"east coast","evening",0.96,0.31,9,8,"night owl","gymnastics",5,"sophomore"
114,39.46,"east coast","evening",0.24,0.39,4,5,"night owl","martial arts",3,"sophomore"
115,20.05,"east coast","evening",0.11,0.2,1,5,"early bird","baseball",3,"junior"
116,9.700000000000001,"east coast","evening",0.13,0.14,4,1,"night owl","football",2,"junior"
117,25.650000000000002,"east coast","evening",0.11,0.2,2,1,"night owl","martial arts",3,"frosh"
118,55.,"east coast","evening",0.14,1.,0,8,"night owl","basketball",2,"senior"
119,52.43,"east coast","evening",0.84,0.5,6,4,"night owl","baseball",5,"junior"
120,28.240000000000002,"east coast","evening",0.07,0.59,0,3,"night owl","table tennis",4,"sophomore"
121,24.88,"east coast","evening",0.43,0.74,4,7,"early bird","football",3,"senior"
122,33.89,"east coast","evening",0.48,0.56,3,3,"night owl","frisbee",4,"junior"
123,36.15,"east coast","evening",0.11,0.8200000000000001,1,2,"night owl","basketball",5,"frosh"
124,42.67,"east coast","evening",0.8,0.08,7,5,"night owl","gymnastics",5,"frosh"
125,45.87,"east coast","evening",0.66,0.63,2,8,"night owl","table tennis",6,"sophomore"
126,63.89,"east coast","evening",0.7000000000000001,0.97,5,10,"early bird","basketball",3,"senior"
127,49.07,"east coast","evening",0.23,0.14,6,7,"night owl","martial arts",3,"sophomore"
128,31.55,"east coast","evening",0.31,0.48,2,3,"night owl","curling",3,"junior"
129,91.81,"east coast","evening",1.,0.99,9,12,"night owl","martial arts",8,"junior"
130,36.160000000000004,"east coast","evening",0.11,0.48,1,2,"night owl","curling",6,"frosh"
131,26.09,"east coast","noon",0.11,0.61,4,9,"night owl","basketball",3,"junior"
132,56.86,"east coast","noon",0.85,0.59,9,5,"night owl","frisbee",2,"junior"
133,65.48,"east coast","noon",0.78,0.99,4,10,"night owl","frisbee",4,"senior"
134,35.82,"east coast","noon",0.09,0.19,2,7,"night owl","football",3,"sophomore"
135,47.7,"east coast","noon",0.81,0.34,10,8,"night owl","baseball",4,"sophomore"
136,20.92,"east coast","noon",0.14,0.8,0,8,"night owl","martial arts",7,"sophomore"
137,54.33,"east coast","noon",0.93,0.87,7,10,"early bird","baseball",4,"senior"
138,69.03,"east coast","noon",0.93,0.7000000000000001,9,4,"night owl","martial arts",4,"junior"
139,35.33,"east coast","noon",0.32,0.04,6,9,"night owl","baseball",5,"frosh"
140,47.730000000000004,"east coast","noon",0.85,0.09,9,9,"night owl","baseball",6,"frosh"
141,8.17,"east coast","evening",0.05,0.46,0,6,"night owl","football",3,"junior"
142,17.17,"east coast","evening",0.07,0.03,6,4,"early bird","martial arts",2,"frosh"
143,44.22,"east coast","evening",0.91,0.09,9,6,"early bird","baseball",3,"frosh"
144,76.42,"east coast","evening",0.97,0.89,10,9,"night owl","table tennis",3,"senior"
145,35.03,"east coast","evening",0.35000000000000003,0.32,5,10,"night owl","baseball",3,"junior"
146,50.9,"east coast","evening",0.4,0.67,5,5,"night owl","frisbee",2,"senior"
147,39.88,"east coast","evening",0.45,0.96,2,10,"night owl","table tennis",3,"senior"
148,32.67,"east coast","evening",0.05,0.03,3,3,"night owl","football",3,"sophomore"
149,15.370000000000001,"east coast","evening",0.14,0.53,3,4,"night owl","table tennis",3,"frosh"
150,39.67,"east coast","evening",0.35000000000000003,0.54,3,10,"early bird","baseball",3,"junior"
151,44.82,"east coast","evening",0.65,0.85,5,9,"night owl","table tennis",5,"junior"
152,0.,"east coast","evening",0.4,0.02,4,1,"night owl","gymnastics",5,"sophomore"
153,11.47,"east coast","evening",0.09,0.11,2,4,"early bird","baseball",3,"junior"
154,18.12,"east coast","evening",0.33,0.09,4,2,"night owl","curling",4,"sophomore"
155,22.32,"east coast","evening",0.51,0.56,7,9,"early bird","table tennis",3,"sophomore"
156,43.68,"east coast","evening",0.91,0.08,10,9,"night owl","baseball",3,"junior"
157,0.,"east coast","evening",0.21,0.33,3,7,"early bird","gymnastics",5,"sophomore"
158,20.92,"east coast","evening",0.11,0.21,1,2,"night owl","martial arts",3,"sophomore"
159,44.39,"east coast","evening",0.7000000000000001,0.54,4,2,"night owl","baseball",6,"junior"
160,13.200000000000001,"east coast","evening",0.6,0.59,4,1,"night owl","curling",4,"sophomore"
161,34.2,"east coast","evening",0.3,0.56,7,3,"night owl","frisbee",2,"senior"
162,55.38,"east coast","evening",0.85,0.29,10,9,"night owl","football",3,"sophomore"
163,50.34,"east coast","evening",0.78,0.54,5,0,"night owl","frisbee",4,"frosh"
164,23.92,"east coast","evening",0.39,0.49,5,9,"night owl","table tennis",3,"sophomore"
165,16.17,"east coast","evening",0.5,0.09,4,0,"night owl","curling",5,"frosh"
166,50.22,"east coast","evening",0.61,0.54,8,9,"night owl","gymnastics",3,"senior"
167,13.780000000000001,"east coast","evening",0.24,0.35000000000000003,4,6,"night owl","table tennis",3,"frosh"
168,22.82,"east coast","evening",0.08,0.19,4,2,"early bird","martial arts",2,"junior"
169,19.990000000000002,"east coast","evening",0.15,0.25,3,5,"early bird","gymnastics",3,"senior"
170,47.43,"east coast","evening",0.78,0.86,7,11,"early bird","curling",5,"junior"
171,23.71,"east coast","evening",0.34,0.24,5,2,"night owl","frisbee",3,"frosh"
172,30.28,"east coast","evening",0.24,0.9,1,8,"night owl","martial arts",3,"junior"
173,27.310000000000002,"east coast","evening",0.5700000000000001,0.52,6,6,"night owl","football",3,"senior"
174,22.6,"east coast","evening",0.25,0.91,1,11,"night owl","frisbee",4,"sophomore"
175,11.06,"east coast","evening",0.46,0.11,6,1,"early bird","football",4,"sophomore"
176,49.99,"east coast","evening",0.92,0.73,4,9,"night owl","curling",5,"frosh"
177,17.72,"east coast","evening",0.4,0.42,3,3,"early bird","martial arts",4,"sophomore"
178,31.900000000000002,"east coast","evening",0.37,0.77,2,9,"night owl","curling",4,"senior"
179,15.530000000000001,"east coast","evening",0.01,0.37,0,6,"night owl","table tennis",3,"junior"
180,68.71000000000001,"east coast","evening",0.92,0.96,2,8,"night owl","frisbee",7,"sophomore"
181,0.,"east coast","noon",0.09,0.14,4,8,"night owl","football",2,"sophomore"
182,35.04,"east coast","noon",0.75,0.6900000000000001,6,7,"early bird","baseball",6,"junior"
183,38.25,"east coast","noon",0.49,0.87,6,7,"night owl","frisbee",3,"senior"
184,26.12,"east coast","noon",0.59,0.15,9,10,"night owl","football",3,"junior"
185,42.62,"east coast","noon",0.68,0.4,8,9,"night owl","martial arts",3,"junior"
186,0.,"east coast","noon",0.18,0.09,5,4,"night owl","curling",3,"junior"
187,5.12,"east coast","noon",0.02,0.72,1,3,"night owl","basketball",1,"junior"
188,11.46,"east coast","noon",0.72,0.05,7,1,"night owl","curling",5,"frosh"
189,6.67,"east coast","noon",0.26,0.03,4,3,"night owl","baseball",5,"frosh"
190,40.19,"east coast","noon",0.86,0.78,6,9,"night owl","curling",6,"junior"
191,42.75,"east coast","morning",0.73,0.84,1,2,"night owl","table tennis",6,"junior"
192,28.650000000000002,"east coast","morning",0.39,0.96,0,7,"night owl","frisbee",6,"junior"
193,22.22,"east coast","morning",0.58,0.47000000000000003,7,5,"night owl","football",2,"senior"
194,43.68,"east coast","morning",0.4,0.79,5,8,"early bird","table tennis",2,"senior"
195,23.650000000000002,"east coast","morning",0.5700000000000001,0.47000000000000003,2,7,"night owl","football",5,"sophomore"
196,50.81,"east coast","morning",0.51,0.96,4,11,"night owl","martial arts",3,"senior"
197,41.96,"east coast","morning",0.61,0.9,7,12,"night owl","table tennis",4,"junior"
198,27.68,"east coast","morning",0.11,0.3,2,5,"night owl","table tennis",3,"sophomore"
199,22.900000000000002,"east coast","morning",0.72,0.08,6,0,"night owl","football",6,"sophomore"
200,17.080000000000002,"east coast","morning",0.13,0.14,4,5,"night owl","football",2,"sophomore"
201,73.12,"east coast","evening",0.92,0.96,8,12,"early bird","frisbee",5,"senior"
202,65.97,"east coast","evening",0.88,0.62,9,8,"night owl","martial arts",4,"junior"
203,42.18,"east coast","evening",0.72,0.19,8,1,"night owl","table tennis",5,"frosh"
204,61.84,"east coast","evening",0.8200000000000001,0.87,4,1,"night owl","martial arts",4,"sophomore"
205,27.53,"east coast","evening",0.13,0.22,5,7,"night owl","table tennis",3,"sophomore"
206,57.18,"east coast","evening",0.93,0.14,8,5,"night owl","gymnastics",4,"junior"
207,45.57,"east coast","evening",0.75,0.03,9,7,"night owl","gymnastics",6,"frosh"
208,16.,"east coast","evening",0.24,0.2,4,10,"night owl","curling",4,"frosh"
209,35.050000000000004,"east coast","evening",0.5,0.51,2,2,"night owl","football",5,"junior"
210,21.37,"east coast","evening",0.28,0.17,5,2,"night owl","table tennis",3,"sophomore"
211,55.65,"east coast","morning",0.71,0.98,1,1,"night owl","basketball",3,"senior"
212,27.580000000000002,"east coast","morning",0.25,0.64,4,3,"night owl","basketball",3,"sophomore"
213,0.,"east coast","morning",0.07,0.16,2,8,"night owl","baseball",4,"frosh"
214,0.,"east coast","morning",0.41000000000000003,0.08,4,1,"night owl","baseball",4,"frosh"
215,35.230000000000004,"east coast","morning",0.18,0.89,1,7,"night owl","basketball",3,"sophomore"
216,27.45,"east coast","morning",0.4,0.48,6,5,"night owl","table tennis",3,"sophomore"
217,16.37,"east coast","morning",0.55,0.06,6,1,"night owl","gymnastics",5,"frosh"
218,0.,"east coast","morning",0.26,0.29,2,1,"night owl","baseball",4,"junior"
219,1.9000000000000001,"east coast","morning",0.26,0.17,4,10,"night owl","curling",6,"frosh"
220,43.94,"east coast","morning",0.71,0.48,8,10,"night owl","baseball",3,"junior"
221,5.08,"east coast","evening",0.12,0.09,0,0,"night owl","baseball",3,"sophomore"
222,30.67,"east coast","evening",0.39,0.17,5,4,"night owl","football",3,"sophomore"
223,27.93,"east coast","evening",0.18,0.03,6,0,"early bird","curling",2,"frosh"
224,34.02,"east coast","evening",0.15,0.73,3,11,"night owl","table tennis",3,"junior"
225,44.11,"east coast","evening",0.23,0.75,4,5,"night owl","basketball",2,"sophomore"
226,66.12,"east coast","evening",0.91,0.85,7,8,"night owl","table tennis",6,"junior"
227,63.27,"east coast","evening",0.79,0.88,7,12,"early bird","martial arts",5,"sophomore"
228,66.07000000000001,"east coast","evening",0.79,0.91,7,11,"night owl","table tennis",4,"senior"
229,42.38,"east coast","evening",0.62,0.45,8,6,"night owl","curling",3,"sophomore"
230,0.,"east coast","evening",0.12,0.15,1,1,"night owl","football",5,"sophomore"
231,58.34,"east coast","noon",0.8300000000000001,0.93,7,6,"night owl","table tennis",3,"senior"
232,31.37,"east coast","noon",0.72,0.55,5,11,"night owl","baseball",5,"junior"
233,37.88,"east coast","noon",0.87,0.29,7,11,"night owl","gymnastics",5,"junior"
234,24.82,"east coast","noon",0.26,0.17,2,2,"night owl","football",5,"sophomore"
235,74.85000000000001,"east coast","noon",0.96,0.9,9,5,"night owl","basketball",5,"junior"
236,59.76,"east coast","noon",0.5700000000000001,0.96,4,11,"night owl","frisbee",4,"sophomore"
237,47.96,"east coast","noon",0.12,0.11,5,9,"night owl","curling",3,"sophomore"
238,44.72,"east coast","noon",0.39,0.31,9,9,"night owl","curling",3,"sophomore"
239,57.870000000000005,"east coast","noon",0.78,0.88,2,9,"night owl","curling",4,"senior"
240,38.87,"east coast","noon",0.35000000000000003,0.47000000000000003,3,1,"night owl","martial arts",3,"junior"
241,71.38,"east coast","evening",0.78,0.8300000000000001,7,8,"night owl","martial arts",4,"junior"
242,36.56,"east coast","evening",0.21,0.28,2,5,"night owl","martial arts",5,"frosh"
243,41.660000000000004,"east coast","evening",0.6900000000000001,0.2,9,11,"night owl","football",5,"sophomore"
244,51.21,"east coast","evening",0.72,0.58,8,10,"night owl","football",3,"junior"
245,44.77,"east coast","evening",0.24,0.2,8,10,"night owl","curling",2,"junior"
246,26.62,"east coast","evening",0.56,0.74,1,1,"night owl","martial arts",5,"frosh"
247,49.19,"east coast","evening",0.04,0.09,0,1,"night owl","curling",5,"frosh"
248,40.77,"east coast","evening",0.32,0.86,4,6,"night owl","basketball",3,"junior"
249,52.800000000000004,"east coast","evening",0.8200000000000001,0.53,9,11,"night owl","table tennis",5,"frosh"
250,25.62,"east coast","evening",0.18,0.31,4,6,"night owl","gymnastics",1,"senior"
251,22.97,"east coast","evening",0.13,0.16,4,6,"night owl","curling",3,"sophomore"
252,27.22,"east coast","evening",0.19,0.52,2,7,"night owl","baseball",3,"senior"
253,50.28,"east coast","evening",0.54,0.81,4,2,"early bird","frisbee",1,"senior"
254,48.2,"east coast","evening",0.41000000000000003,0.89,4,8,"night owl","martial arts",3,"senior"
255,37.13,"east coast","evening",0.38,0.28,6,6,"night owl","martial arts",4,"frosh"
256,51.21,"east coast","evening",0.76,0.29,9,7,"night owl","table tennis",3,"junior"
257,18.53,"east coast","evening",0.24,0.86,0,0,"night owl","frisbee",3,"senior"
258,13.76,"east coast","evening",0.39,0.38,1,0,"night owl","basketball",4,"sophomore"
259,35.24,"east coast","evening",0.06,0.37,1,1,"night owl","martial arts",2,"junior"
260,34.92,"east coast","evening",0.2,0.45,3,10,"night owl","frisbee",3,"junior"
261,0.,"east coast","morning",0.18,0.64,3,12,"night owl","curling",2,"senior"
262,56.65,"east coast","morning",0.86,0.66,8,11,"night owl","baseball",3,"senior"
263,37.63,"east coast","morning",0.88,0.6,8,0,"early bird","table tennis",5,"sophomore"
264,58.44,"east coast","morning",0.6900000000000001,0.88,6,9,"night owl","martial arts",3,"junior"
265,18.78,"east coast","morning",0.02,0.01,4,1,"early bird","gymnastics",1,"sophomore"
266,25.77,"east coast","morning",0.49,0.01,8,1,"night owl","gymnastics",6,"frosh"
267,17.87,"east coast","morning",0.5700000000000001,0.5,4,9,"night owl","baseball",5,"sophomore"
268,63.07,"east coast","morning",0.87,0.85,9,6,"night owl","table tennis",3,"senior"
269,67.87,"east coast","morning",0.9,0.79,9,10,"night owl","martial arts",4,"sophomore"
270,38.52,"east coast","morning",0.65,0.72,4,7,"night owl","curling",4,"junior"
271,48.480000000000004,"east coast","evening",0.53,0.86,7,11,"night owl","martial arts",3,"sophomore"
272,19.7,"east coast","evening",0.,0.74,0,2,"night owl","basketball",3,"sophomore"
273,37.99,"east coast","evening",0.98,0.3,10,4,"night owl","baseball",6,"sophomore"
274,16.17,"east coast","evening",0.58,0.18,7,11,"night owl","gymnastics",5,"sophomore"
275,24.830000000000002,"east coast","evening",0.19,0.62,5,6,"night owl","martial arts",2,"sophomore"
276,20.52,"east coast","evening",0.21,0.64,2,5,"night owl","table tennis",2,"junior"
277,22.76,"east coast","evening",0.65,0.46,2,2,"night owl","curling",7,"sophomore"
278,56.4,"east coast","evening",0.77,0.9,5,11,"night owl","football",3,"senior"
279,31.1,"east coast","evening",0.62,0.35000000000000003,7,5,"early bird","frisbee",4,"sophomore"
280,62.940000000000005,"east coast","evening",0.75,0.78,9,10,"night owl","frisbee",3,"senior"
281,39.1,"west coast","evening",0.52,0.28,7,4,"night owl","curling",4,"frosh"
282,34.49,"west coast","evening",0.15,0.68,2,3,"night owl","basketball",3,"junior"
283,45.1,"west coast","evening",0.61,0.4,7,9,"early bird","curling",3,"senior"
284,44.07,"west coast","evening",0.98,0.65,5,6,"night owl","curling",6,"frosh"
285,47.52,"west coast","evening",0.39,0.81,1,8,"night owl","basketball",3,"junior"
286,61.620000000000005,"west coast","evening",0.93,0.81,5,8,"night owl","football",6,"senior"
287,64.51,"west coast","evening",0.88,0.73,6,2,"night owl","frisbee",5,"frosh"
288,46.6,"west coast","evening",0.47000000000000003,0.75,2,2,"night owl","table tennis",4,"junior"
289,54.78,"west coast","evening",0.68,0.62,6,10,"night owl","frisbee",5,"frosh"
290,25.310000000000002,"west coast","evening",0.12,0.84,0,1,"night owl","basketball",3,"sophomore"
291,22.48,"west coast","morning",0.5,0.79,1,9,"night owl","table tennis",4,"senior"
292,21.92,"west coast","morning",0.28,0.17,6,5,"night owl","baseball",2,"junior"
293,60.83,"west coast","morning",0.9400000000000001,0.87,6,4,"early bird","football",4,"senior"
294,23.91,"west coast","morning",0.51,0.27,5,7,"night owl","baseball",6,"sophomore"
295,40.31,"west coast","morning",0.98,0.65,8,6,"night owl","baseball",5,"senior"
296,27.92,"west coast","morning",0.43,0.8200000000000001,3,8,"night owl","martial arts",4,"junior"
297,15.52,"west coast","morning",0.11,0.74,1,11,"early bird","frisbee",4,"sophomore"
298,55.13,"west coast","morning",0.9,0.35000000000000003,8,3,"early bird","martial arts",7,"frosh"
299,41.31,"west coast","morning",0.78,0.67,5,7,"night owl","football",7,"sophomore"
300,47.410000000000004,"west coast","morning",0.8,0.21,8,0,"early bird","baseball",4,"junior"
301,0.,"west coast","noon",0.37,0.44,2,7,"night owl","football",6,"sophomore"
302,0.,"west coast","noon",0.16,0.18,2,1,"early bird","curling",2,"junior"
303,0.,"west coast","noon",0.05,0.12,2,0,"early bird","frisbee",3,"frosh"
304,29.04,"west coast","noon",0.42,0.52,5,5,"night owl","frisbee",3,"junior"
305,41.24,"west coast","noon",0.9400000000000001,0.81,7,7,"night owl","curling",7,"junior"
306,9.99,"west coast","noon",0.54,0.39,4,7,"night owl","baseball",6,"frosh"
307,0.,"west coast","noon",0.15,0.14,3,2,"night owl","gymnastics",4,"sophomore"
308,7.19,"west coast","noon",0.2,0.39,3,6,"early bird","frisbee",3,"junior"
309,33.22,"west coast","noon",0.8,0.71,6,5,"night owl","curling",5,"junior"
310,15.01,"west coast","noon",0.33,0.7000000000000001,6,12,"early bird","football",2,"senior"
311,34.43,"west coast","noon",0.1,0.11,2,6,"night owl","baseball",4,"junior"
