"student label","game score","coast","game scheduled","percent training sessions attended","overall fitness score","# extra strategy sessions attended","hours of sleep the night before game","early bird/night owl","previous competitive sports","# meals on day prior to game","university year"
34,57.67,"east coast","noon",1.,0.88,7,1,"night owl","football",3,"junior"
35,27.35,"east coast","noon",0.,0.43,0,0,"night owl","martial arts",4,"frosh"
36,54.35,"east coast","noon",1.,0.88,6,12,"early bird","table tennis",5,"junior"
37,28.5,"east coast","noon",1.,0.05,7,9,"night owl","football",3,"senior"
38,23.84,"east coast","noon",0.01,0.84,7,3,"early bird","martial arts",5,"frosh"
39,61.63,"east coast","noon",0.87,0.6,9,10,"night owl","martial arts",2,"senior"
40,40.800000000000004,"east coast","noon",0.77,0.73,1,8,"night owl","martial arts",4,"sophomore"
41,31.86,"east coast","noon",1.,0.08,2,6,"early bird","martial arts",6,"sophomore"
42,49.31,"east coast","noon",0.77,1.,4,3,"night owl","curling",5,"junior"
43,46.910000000000004,"east coast","noon",1.,0.23,7,4,"night owl","basketball",4,"junior"
44,30.59,"east coast","noon",0.53,0.28,4,4,"night owl","frisbee",5,"frosh"
45,4.22,"east coast","noon",0.,0.12,2,10,"night owl","frisbee",3,"frosh"
46,64.73,"east coast","noon",0.78,0.86,9,10,"night owl","football",3,"senior"
47,0.,"east coast","noon",0.,0.07,2,10,"night owl","gymnastics",6,"junior"
48,0.,"east coast","noon",0.,0.1,6,1,"early bird","table tennis",3,"frosh"
49,8.25,"east coast","noon",0.92,0.,1,12,"night owl","baseball",3,"senior"
50,29.95,"east coast","noon",0.05,0.22,2,3,"night owl","baseball",5,"frosh"
51,0.,"east coast","noon",0.,0.,4,4,"night owl","curling",2,"frosh"
52,60.14,"east coast","noon",0.98,0.93,7,0,"night owl","frisbee",4,"junior"
53,38.37,"east coast","noon",0.75,0.63,5,9,"night owl","table tennis",4,"frosh"
54,49.7,"east coast","noon",0.77,0.6,9,9,"night owl","table tennis",5,"sophomore"
55,22.39,"east coast","noon",0.25,0.72,5,6,"night owl","martial arts",5,"sophomore"
56,0.,"east coast","noon",0.,0.,1,0,"night owl","football",6,"sophomore"
57,7.99,"east coast","noon",0.36,0.79,3,0,"night owl","football",6,"junior"
58,8.540000000000001,"east coast","noon",0.38,0.12,6,5,"night owl","football",3,"frosh"
59,36.17,"east coast","noon",0.76,0.7000000000000001,6,1,"night owl","baseball",3,"senior"
60,35.56,"east coast","noon",0.14,1.,4,0,"night owl","martial arts",3,"senior"
61,29.12,"east coast","noon",0.15,0.58,5,10,"early bird","frisbee",3,"senior"
62,23.88,"east coast","noon",0.1,0.49,6,5,"early bird","basketball",2,"sophomore"
63,33.74,"east coast","noon",0.13,0.81,9,8,"night owl","curling",3,"junior"
64,61.,"east coast","noon",0.8200000000000001,0.61,10,12,"night owl","martial arts",2,"junior"
65,4.3100000000000005,"east coast","noon",0.32,0.,1,1,"night owl","football",4,"junior"
66,23.64,"east coast","noon",0.2,0.,9,7,"night owl","table tennis",1,"junior"
67,8.69,"east coast","noon",0.05,0.93,1,1,"night owl","football",6,"frosh"
68,25.42,"east coast","noon",0.9400000000000001,0.,6,9,"night owl","gymnastics",4,"sophomore"
69,49.18,"east coast","noon",0.38,1.,8,9,"night owl","football",5,"junior"
70,15.74,"east coast","noon",1.,0.,6,0,"night owl","gymnastics",3,"sophomore"
71,27.62,"east coast","noon",0.1,0.,10,0,"night owl","curling",1,"junior"
72,4.74,"east coast","noon",0.,0.08,6,3,"early bird","curling",3,"junior"
73,54.550000000000004,"east coast","noon",0.52,1.,7,3,"night owl","table tennis",4,"sophomore"
74,60.29,"east coast","noon",0.9400000000000001,0.8200000000000001,10,11,"early bird","football",5,"sophomore"
75,12.35,"east coast","noon",0.14,0.,2,0,"night owl","football",5,"sophomore"
76,30.54,"east coast","noon",1.,0.11,6,2,"night owl","baseball",4,"sophomore"
77,30.650000000000002,"east coast","noon",0.87,0.,7,7,"night owl","baseball",2,"senior"
78,10.36,"east coast","noon",0.7000000000000001,0.,3,0,"night owl","curling",6,"junior"
79,15.,"east coast","noon",0.37,0.09,2,5,"night owl","football",3,"junior"
80,25.29,"east coast","noon",0.87,0.,5,8,"night owl","curling",5,"frosh"
81,63.83,"east coast","noon",0.9500000000000001,0.88,10,2,"night owl","curling",3,"senior"
82,31.13,"east coast","noon",0.77,0.26,3,8,"night owl","martial arts",4,"sophomore"
83,70.07000000000001,"east coast","noon",0.93,1.,6,4,"night owl","martial arts",6,"sophomore"
84,34.01,"east coast","noon",1.,0.2,4,4,"night owl","martial arts",4,"sophomore"
85,21.56,"east coast","noon",0.49,0.02,9,8,"night owl","curling",4,"junior"
86,42.96,"east coast","noon",0.87,0.04,8,12,"night owl","martial arts",3,"sophomore"
87,29.830000000000002,"east coast","noon",0.8200000000000001,0.,6,9,"night owl","baseball",4,"senior"
88,5.8100000000000005,"east coast","noon",0.13,0.41000000000000003,4,2,"night owl","football",3,"senior"
89,73.3,"east coast","noon",0.63,1.,9,6,"night owl","basketball",3,"sophomore"
90,56.9,"east coast","noon",0.97,0.49,9,12,"night owl","frisbee",2,"senior"
91,27.330000000000002,"east coast","noon",0.9500000000000001,0.12,5,7,"night owl","baseball",6,"junior"
92,28.080000000000002,"east coast","noon",0.3,0.85,3,10,"early bird","basketball",3,"senior"
93,18.94,"east coast","noon",0.08,0.,1,2,"night owl","curling",6,"frosh"
94,1.49,"east coast","noon",0.05,0.01,6,2,"night owl","football",6,"junior"
95,52.43,"east coast","noon",1.,0.84,3,10,"night owl","curling",3,"junior"
96,58.19,"east coast","noon",0.96,0.62,8,3,"night owl","martial arts",3,"sophomore"
97,36.56,"east coast","noon",0.98,0.07,8,2,"night owl","martial arts",4,"frosh"
98,51.4,"east coast","noon",1.,0.88,5,11,"early bird","curling",4,"senior"
99,45.89,"east coast","noon",0.38,0.89,10,12,"night owl","table tennis",1,"senior"
100,69.9,"east coast","noon",0.9,1.,7,5,"night owl","gymnastics",5,"sophomore"
101,39.76,"east coast","evening",0.44,0.43,8,9,"night owl","baseball",4,"frosh"
102,79.69,"east coast","evening",1.,0.87,7,8,"night owl","martial arts",3,"sophomore"
103,27.02,"east coast","evening",0.,1.,7,5,"early bird","curling",4,"junior"
104,49.4,"east coast","evening",0.42,0.8,8,6,"night owl","table tennis",2,"senior"
105,28.05,"east coast","evening",0.67,0.05,0,7,"night owl","baseball",5,"junior"
106,40.64,"east coast","evening",0.77,0.34,0,0,"night owl","frisbee",3,"junior"
107,17.01,"east coast","evening",0.11,0.7000000000000001,5,9,"night owl","football",3,"junior"
108,85.,"east coast","evening",1.,0.91,9,8,"night owl","frisbee",4,"junior"
109,44.01,"east coast","evening",0.,1.,6,6,"night owl","baseball",5,"sophomore"
110,16.21,"east coast","evening",0.33,0.04,7,0,"night owl","baseball",3,"sophomore"
111,41.56,"east coast","morning",0.31,0.9,5,10,"night owl","table tennis",3,"sophomore"
112,22.38,"east coast","morning",0.,0.53,3,6,"night owl","table tennis",2,"sophomore"
113,80.43,"east coast","morning",0.9400000000000001,1.,10,6,"night owl","gymnastics",5,"sophomore"
114,25.26,"east coast","morning",0.,0.19,3,6,"night owl","martial arts",3,"sophomore"
115,27.91,"east coast","morning",0.68,0.,2,2,"early bird","baseball",3,"junior"
116,15.8,"east coast","morning",0.16,0.,4,2,"night owl","football",2,"junior"
117,21.66,"east coast","morning",0.,0.,5,2,"night owl","martial arts",3,"frosh"
118,38.75,"east coast","morning",0.09,0.78,2,11,"night owl","basketball",2,"senior"
119,49.550000000000004,"east coast","morning",0.85,0.63,7,1,"night owl","baseball",5,"junior"
120,47.18,"east coast","morning",0.58,1.,0,2,"night owl","table tennis",4,"sophomore"
121,33.160000000000004,"east coast","noon",0.,0.74,6,9,"early bird","football",3,"senior"
122,71.2,"east coast","noon",1.,1.,1,2,"night owl","frisbee",4,"junior"
123,46.77,"east coast","noon",0.,0.48,0,3,"night owl","basketball",5,"frosh"
124,37.89,"east coast","noon",0.56,0.26,9,3,"night owl","gymnastics",5,"frosh"
125,57.08,"east coast","noon",0.9500000000000001,0.9,1,9,"night owl","table tennis",6,"sophomore"
126,55.32,"east coast","noon",0.72,0.65,4,9,"early bird","basketball",3,"senior"
127,32.58,"east coast","noon",0.,0.05,5,5,"night owl","martial arts",3,"sophomore"
128,50.45,"east coast","noon",0.32,0.,3,0,"night owl","curling",3,"junior"
129,82.37,"east coast","noon",0.87,1.,9,10,"night owl","martial arts",8,"junior"
130,100.,"east coast","noon",0.,0.03,0,0,"night owl","curling",6,"frosh"
131,65.69,"east coast","noon",0.89,0.86,5,9,"night owl","basketball",3,"junior"
132,64.72,"east coast","noon",0.78,0.86,7,5,"night owl","frisbee",2,"junior"
133,41.37,"east coast","noon",0.03,1.,4,7,"night owl","frisbee",4,"senior"
134,12.790000000000001,"east coast","noon",0.,0.04,1,7,"night owl","football",3,"sophomore"
135,39.88,"east coast","noon",0.9,0.15,9,11,"night owl","baseball",4,"sophomore"
136,30.94,"east coast","noon",0.04,0.04,0,7,"night owl","martial arts",7,"sophomore"
137,75.51,"east coast","noon",1.,0.99,8,12,"early bird","baseball",4,"senior"
138,70.36,"east coast","noon",1.,0.86,9,4,"night owl","martial arts",4,"junior"
139,24.17,"east coast","noon",0.,0.,6,8,"night owl","baseball",5,"sophomore"
140,39.96,"east coast","noon",1.,0.09,7,11,"night owl","baseball",6,"frosh"
141,8.22,"east coast","noon",0.,0.92,0,5,"night owl","football",3,"junior"
142,15.,"east coast","noon",0.,0.,3,5,"early bird","martial arts",2,"frosh"
143,62.92,"east coast","noon",0.98,0.98,8,1,"early bird","baseball",3,"frosh"
144,58.19,"east coast","noon",0.88,0.81,8,10,"night owl","table tennis",3,"senior"
145,50.7,"east coast","noon",0.72,0.78,2,11,"night owl","baseball",3,"senior"
146,36.57,"east coast","noon",0.07,0.87,8,7,"night owl","frisbee",2,"senior"
147,29.060000000000002,"east coast","noon",0.05,0.96,4,8,"night owl","table tennis",3,"senior"
148,20.87,"east coast","noon",0.,0.62,1,3,"night owl","football",3,"sophomore"
149,48.59,"east coast","noon",0.5,1.,3,2,"night owl","table tennis",3,"frosh"
150,22.77,"east coast","noon",0.,0.98,2,11,"early bird","baseball",3,"junior"
151,49.65,"east coast","noon",1.,0.5700000000000001,5,12,"night owl","table tennis",5,"junior"
152,44.46,"east coast","noon",0.09,0.,4,1,"night owl","gymnastics",5,"sophomore"
153,55.74,"east coast","noon",0.04,0.27,5,3,"early bird","baseball",3,"junior"
154,39.6,"east coast","noon",0.99,0.09,7,2,"night owl","curling",4,"sophomore"
155,50.34,"east coast","noon",0.9500000000000001,0.01,8,8,"early bird","table tennis",3,"sophomore"
156,52.26,"east coast","noon",0.96,0.01,10,9,"night owl","baseball",3,"junior"
157,42.71,"east coast","noon",0.,1.,3,10,"early bird","gymnastics",5,"sophomore"
158,49.050000000000004,"east coast","noon",0.19,0.02,5,1,"night owl","martial arts",3,"sophomore"
159,38.02,"east coast","noon",0.,0.64,5,4,"night owl","baseball",6,"junior"
160,28.8,"east coast","noon",0.18,0.89,5,3,"night owl","curling",4,"sophomore"
161,23.52,"east coast","noon",0.22,0.46,7,4,"night owl","frisbee",2,"senior"
162,41.59,"east coast","noon",0.98,0.15,9,10,"night owl","football",3,"sophomore"
163,27.07,"east coast","noon",0.39,1.,3,0,"night owl","frisbee",4,"frosh"
164,63.050000000000004,"east coast","noon",0.71,0.99,8,9,"night owl","table tennis",3,"sophomore"
165,0.,"east coast","noon",0.37,0.07,4,2,"night owl","curling",5,"frosh"
166,33.37,"east coast","noon",0.,1.,8,11,"night owl","gymnastics",3,"senior"
167,0.,"east coast","noon",0.16,0.38,3,3,"night owl","table tennis",3,"frosh"
168,0.5,"east coast","noon",0.17,0.26,1,2,"early bird","martial arts",2,"junior"
169,0.,"east coast","noon",0.42,0.,3,6,"early bird","gymnastics",3,"senior"
170,44.480000000000004,"east coast","noon",1.,0.75,7,11,"early bird","curling",5,"junior"
171,72.23,"east coast","noon",0.99,1.,5,2,"night owl","frisbee",3,"frosh"
172,66.03,"east coast","noon",1.,0.97,0,3,"night owl","martial arts",3,"junior"
173,28.59,"east coast","noon",0.91,0.,7,6,"night owl","football",3,"senior"
174,24.6,"east coast","noon",0.02,1.,1,9,"night owl","frisbee",4,"sophomore"
175,16.490000000000002,"east coast","noon",0.26,0.39,5,0,"early bird","football",4,"sophomore"
176,50.370000000000005,"east coast","noon",0.93,0.79,8,6,"night owl","curling",5,"frosh"
177,14.11,"east coast","noon",0.81,0.07,3,0,"early bird","martial arts",4,"sophomore"
178,51.93,"east coast","noon",0.78,0.89,0,7,"night owl","curling",4,"senior"
179,30.54,"east coast","noon",0.,0.17,1,8,"night owl","table tennis",3,"junior"
180,70.43,"east coast","noon",1.,1.,4,10,"night owl","frisbee",7,"sophomore"
181,36.96,"east coast","evening",0.,0.01,5,8,"night owl","football",2,"junior"
182,68.75,"east coast","evening",1.,1.,6,10,"early bird","baseball",6,"junior"
183,56.38,"east coast","evening",0.62,0.79,6,5,"night owl","frisbee",3,"senior"
184,37.29,"east coast","evening",0.53,0.02,7,11,"night owl","football",3,"junior"
185,58.46,"east coast","evening",1.,0.16,9,7,"night owl","martial arts",3,"junior"
186,36.800000000000004,"east coast","evening",1.,0.,4,5,"night owl","curling",3,"junior"
187,36.92,"east coast","evening",0.56,0.31,0,0,"night owl","basketball",1,"junior"
188,23.26,"east coast","evening",0.27,0.01,8,0,"night owl","curling",5,"frosh"
189,18.580000000000002,"east coast","evening",0.,0.66,3,5,"night owl","baseball",5,"frosh"
190,81.71000000000001,"east coast","evening",1.,1.,8,11,"night owl","curling",6,"junior"
191,36.03,"east coast","noon",0.9500000000000001,0.62,0,3,"night owl","table tennis",6,"junior"
192,36.26,"east coast","noon",0.26,1.,0,5,"night owl","frisbee",6,"junior"
193,29.62,"east coast","noon",0.,0.06,8,8,"night owl","football",2,"senior"
194,61.370000000000005,"east coast","noon",0.84,1.,3,10,"early bird","table tennis",2,"senior"
195,20.16,"east coast","noon",0.38,0.04,6,8,"night owl","football",5,"sophomore"
196,41.17,"east coast","noon",0.,0.86,2,12,"night owl","martial arts",3,"senior"
197,64.64,"east coast","noon",1.,0.9,9,12,"night owl","table tennis",4,"junior"
198,27.810000000000002,"east coast","noon",0.1,0.15,4,6,"night owl","table tennis",3,"sophomore"
199,52.32,"east coast","noon",1.,0.72,5,2,"night owl","football",6,"sophomore"
200,34.25,"east coast","noon",0.28,0.03,4,5,"night owl","football",2,"sophomore"
201,69.26,"east coast","noon",0.78,1.,6,12,"early bird","frisbee",5,"senior"
202,68.24,"east coast","noon",1.,0.68,10,10,"night owl","martial arts",4,"junior"
203,35.57,"east coast","noon",0.56,0.02,6,3,"night owl","table tennis",5,"frosh"
204,29.73,"east coast","noon",0.42,0.26,7,1,"night owl","martial arts",4,"sophomore"
205,18.67,"east coast","noon",0.43,0.,3,6,"night owl","table tennis",3,"sophomore"
206,41.28,"east coast","noon",0.81,0.13,8,8,"night owl","gymnastics",4,"junior"
207,22.12,"east coast","noon",1.,0.1,6,5,"night owl","gymnastics",6,"frosh"
208,36.77,"east coast","noon",0.2,0.04,4,12,"night owl","curling",4,"frosh"
209,0.26,"east coast","noon",0.39,0.02,4,4,"night owl","football",5,"junior"
210,20.66,"east coast","noon",0.,0.,3,0,"night owl","table tennis",3,"sophomore"
211,45.230000000000004,"east coast","noon",0.62,1.,0,1,"night owl","basketball",3,"senior"
212,40.300000000000004,"east coast","noon",0.26,1.,5,2,"night owl","basketball",3,"sophomore"
213,0.,"east coast","noon",0.2,0.15,0,5,"night owl","baseball",4,"frosh"
214,38.44,"east coast","noon",1.,0.59,7,2,"night owl","baseball",4,"frosh"
215,15.35,"east coast","noon",0.04,0.9,0,6,"night owl","basketball",3,"sophomore"
216,23.22,"east coast","noon",0.2,0.98,6,3,"night owl","table tennis",3,"sophomore"
217,15.83,"east coast","noon",0.99,0.,8,2,"night owl","gymnastics",5,"frosh"
218,0.,"east coast","noon",0.,0.,0,0,"night owl","baseball",4,"junior"
219,0.,"east coast","noon",0.12,0.,3,10,"night owl","curling",6,"frosh"
220,76.02,"east coast","noon",1.,1.,8,10,"night owl","baseball",3,"junior"
221,0.,"east coast","noon",0.,0.02,0,4,"night owl","baseball",3,"sophomore"
222,21.36,"east coast","noon",0.,1.,4,0,"night owl","football",3,"sophomore"
223,0.,"east coast","noon",0.15,0.,7,1,"early bird","curling",2,"frosh"
224,13.72,"east coast","noon",0.,0.93,6,11,"night owl","table tennis",3,"junior"
225,17.14,"east coast","noon",0.2,0.02,6,2,"night owl","basketball",2,"sophomore"
226,32.6,"east coast","noon",0.5,0.97,3,11,"night owl","table tennis",6,"senior"
227,34.5,"east coast","noon",0.08,0.96,8,11,"early bird","martial arts",5,"sophomore"
228,81.8,"east coast","noon",1.,1.,10,10,"night owl","table tennis",4,"senior"
229,37.08,"east coast","noon",1.,0.12,10,5,"night owl","curling",3,"sophomore"
230,0.,"east coast","noon",0.06,0.,2,0,"night owl","football",5,"sophomore"
231,50.370000000000005,"east coast","noon",1.,0.8200000000000001,4,8,"night owl","table tennis",3,"senior"
232,15.52,"east coast","noon",0.65,0.,7,12,"night owl","baseball",5,"junior"
233,24.82,"east coast","noon",0.84,0.24,6,11,"night owl","gymnastics",5,"senior"
234,0.,"east coast","noon",0.04,0.15,0,0,"night owl","football",5,"sophomore"
235,73.79,"east coast","noon",0.97,1.,6,8,"night owl","basketball",5,"junior"
236,48.230000000000004,"east coast","noon",1.,0.76,6,12,"night owl","frisbee",4,"sophomore"
237,22.22,"east coast","noon",0.48,0.,4,10,"night owl","curling",3,"sophomore"
238,10.21,"east coast","noon",0.,0.,9,8,"night owl","curling",3,"junior"
239,11.450000000000001,"east coast","noon",1.,0.02,4,10,"night owl","curling",4,"senior"
240,47.46,"east coast","noon",0.9400000000000001,0.86,5,0,"night owl","martial arts",3,"junior"
241,60.49,"east coast","evening",1.,0.76,6,7,"night owl","martial arts",4,"junior"
242,21.06,"east coast","evening",0.13,0.9500000000000001,2,3,"night owl","martial arts",5,"frosh"
243,31.92,"east coast","evening",1.,0.07,5,11,"night owl","football",5,"sophomore"
244,54.11,"east coast","evening",0.32,0.9500000000000001,9,9,"night owl","football",3,"junior"
245,40.49,"east coast","evening",0.1,0.79,10,10,"night owl","curling",2,"junior"
246,25.92,"east coast","evening",0.99,0.,0,0,"night owl","martial arts",5,"frosh"
247,13.620000000000001,"east coast","evening",0.,0.64,2,0,"night owl","curling",5,"frosh"
248,67.07000000000001,"east coast","evening",0.52,1.,6,5,"night owl","basketball",3,"junior"
249,44.02,"east coast","evening",0.56,0.46,10,10,"night owl","table tennis",5,"frosh"
250,34.15,"east coast","evening",0.29,0.79,3,7,"night owl","gymnastics",1,"senior"
251,49.04,"east coast","morning",0.9400000000000001,0.48,7,6,"night owl","curling",3,"sophomore"
252,23.05,"east coast","morning",0.41000000000000003,0.4,2,7,"night owl","baseball",3,"senior"
253,72.4,"east coast","morning",0.53,1.,6,3,"early bird","frisbee",1,"senior"
254,32.34,"east coast","morning",0.,0.7000000000000001,3,10,"night owl","martial arts",3,"senior"
255,46.980000000000004,"east coast","morning",1.,0.,5,6,"night owl","martial arts",4,"frosh"
256,48.77,"east coast","morning",1.,0.,10,7,"night owl","table tennis",3,"junior"
257,35.230000000000004,"east coast","morning",0.02,0.92,0,1,"night owl","frisbee",3,"senior"
258,36.43,"east coast","morning",0.51,0.3,1,0,"night owl","basketball",4,"sophomore"
259,33.39,"east coast","morning",0.07,1.,0,1,"night owl","martial arts",2,"senior"
260,38.6,"east coast","morning",0.27,0.93,2,7,"night owl","frisbee",3,"junior"
261,12.91,"east coast","noon",0.08,0.88,2,10,"night owl","curling",2,"senior"
262,53.46,"east coast","noon",0.59,1.,6,12,"night owl","baseball",3,"senior"
263,37.94,"east coast","noon",1.,0.,10,1,"early bird","table tennis",5,"sophomore"
264,76.52,"east coast","noon",0.92,1.,5,12,"night owl","martial arts",3,"junior"
265,2.67,"east coast","noon",0.,0.35000000000000003,6,0,"early bird","gymnastics",1,"sophomore"
266,17.43,"east coast","noon",1.,0.11,5,0,"night owl","gymnastics",6,"frosh"
267,18.09,"east coast","noon",0.,0.98,2,7,"night owl","baseball",5,"sophomore"
268,82.5,"east coast","noon",1.,1.,10,11,"night owl","table tennis",3,"senior"
269,52.35,"east coast","noon",0.47000000000000003,0.9500000000000001,10,10,"night owl","martial arts",4,"sophomore"
270,62.14,"east coast","noon",0.9,0.99,7,12,"night owl","curling",4,"junior"
271,69.85000000000001,"east coast","noon",0.8300000000000001,1.,4,12,"night owl","martial arts",3,"sophomore"
272,21.64,"east coast","noon",0.,0.02,0,3,"night owl","basketball",3,"sophomore"
273,40.93,"east coast","noon",0.78,0.01,10,4,"night owl","baseball",6,"sophomore"
274,0.,"east coast","noon",0.18,0.44,4,11,"night owl","gymnastics",5,"sophomore"
275,36.04,"east coast","noon",0.55,0.03,5,7,"night owl","martial arts",2,"sophomore"
276,0.,"east coast","noon",0.12,0.,5,4,"night owl","table tennis",2,"junior"
277,0.,"east coast","noon",0.,0.,0,3,"night owl","curling",7,"sophomore"
278,58.84,"east coast","noon",1.,0.89,4,11,"night owl","football",3,"senior"
279,45.02,"east coast","noon",0.79,0.,8,8,"early bird","frisbee",4,"sophomore"
280,48.74,"east coast","noon",0.03,1.,9,9,"night owl","frisbee",3,"senior"
281,34.47,"west coast","morning",0.02,0.12,10,4,"night owl","curling",4,"frosh"
282,38.95,"west coast","morning",0.13,0.89,3,2,"night owl","basketball",3,"junior"
283,41.21,"west coast","morning",0.,0.07,8,12,"early bird","curling",3,"senior"
284,43.42,"west coast","morning",0.71,0.,4,3,"night owl","curling",6,"frosh"
285,35.01,"west coast","morning",0.42,0.85,2,9,"night owl","basketball",3,"junior"
286,62.14,"west coast","morning",0.73,1.,6,4,"night owl","football",6,"senior"
287,69.76,"west coast","morning",0.9,1.,6,2,"night owl","frisbee",5,"frosh"
288,51.53,"west coast","morning",0.78,0.62,2,3,"night owl","table tennis",4,"junior"
289,65.94,"west coast","morning",0.6,0.96,5,6,"night owl","frisbee",5,"frosh"
290,29.060000000000002,"west coast","morning",0.,0.6900000000000001,1,0,"night owl","basketball",3,"sophomore"
291,61.39,"west coast","morning",0.81,1.,0,11,"night owl","table tennis",4,"senior"
292,1.54,"west coast","morning",0.07,0.11,3,6,"night owl","baseball",2,"junior"
293,31.43,"west coast","morning",0.89,0.31,6,2,"early bird","football",4,"senior"
294,30.88,"west coast","morning",0.19,0.03,7,7,"night owl","baseball",6,"sophomore"
295,70.45,"west coast","morning",0.84,1.,10,3,"night owl","baseball",5,"senior"
296,30.03,"west coast","morning",0.58,0.46,0,7,"night owl","martial arts",4,"junior"
297,34.49,"west coast","morning",0.,1.,5,11,"early bird","frisbee",4,"sophomore"
298,65.51,"west coast","morning",0.9400000000000001,0.9,6,4,"early bird","martial arts",7,"sophomore"
299,63.52,"west coast","morning",0.97,1.,5,7,"night owl","football",7,"junior"
300,41.93,"west coast","morning",0.8300000000000001,0.32,8,3,"early bird","baseball",4,"junior"
301,14.05,"west coast","noon",0.06,0.,0,4,"night owl","football",6,"sophomore"
302,18.39,"west coast","noon",0.36,0.26,1,0,"early bird","curling",2,"junior"
303,0.,"west coast","noon",0.,0.11,2,1,"early bird","frisbee",3,"frosh"
304,18.17,"west coast","noon",0.,0.38,4,4,"night owl","frisbee",3,"junior"
305,54.24,"west coast","noon",0.7000000000000001,1.,7,3,"night owl","curling",7,"junior"
306,45.71,"west coast","noon",0.77,0.92,4,6,"night owl","baseball",6,"frosh"
307,0.,"west coast","noon",0.,0.,3,2,"night owl","gymnastics",4,"sophomore"
308,17.87,"west coast","noon",0.,0.15,3,6,"early bird","frisbee",3,"junior"
309,0.,"west coast","noon",0.,0.19,5,4,"night owl","curling",5,"junior"
310,7.29,"west coast","noon",0.,0.87,7,12,"early bird","football",2,"senior"
311,18.17,"west coast","evening",0.,0.38,5,5,"night owl","baseball",4,"junior"
312,17.28,"west coast","evening",0.41000000000000003,0.43,1,3,"night owl","martial arts",4,"junior"
313,47.04,"west coast","evening",0.98,0.31,0,11,"night owl","martial arts",5,"frosh"
314,47.17,"west coast","evening",0.,0.,8,5,"night owl","curling",2,"sophomore"
315,27.51,"west coast","evening",0.05,0.28,3,3,"night owl","frisbee",4,"sophomore"
316,19.6,"west coast","evening",0.41000000000000003,0.,5,5,"night owl","football",4,"sophomore"
317,19.7,"west coast","evening",0.,0.,2,7,"night owl","table tennis",3,"junior"
318,45.62,"west coast","evening",1.,0.35000000000000003,8,3,"night owl","baseball",5,"frosh"
319,36.92,"west coast","evening",1.,0.26,2,3,"night owl","martial arts",3,"sophomore"
